PCG,,,,,
NUE,,,,,
EA,,,,,
O,,,,,
PH,,,,,
ILMN,,,,,
MCHP,,,,,
ENPH,,,,,
DOW,,,,,
ANET,,,,,
NEM,,,,,
TT,,,,,
HSY,,,,,
XEL,,,,,
IQV,,,,,
SPG,,,,,
CMI,,,,,
WBD,,,,,
RMD,,,,,
BK,,,,,
ALL,,,,,
MSCI,,,,,
DLTR,,,,,
GPN,,,,,
ALB,,,,,
YUM,,,,,
PCAR,,,,,
KR,,,,,
CTSH,,,,,
BF.B,,,,,
HAL,,,,,
ABC,,,,,
KEYS,,,,,
ED,,,,,
LVS,,,,,
WBA,,,,,
CARR,,,,,
ROST,,,,,
TDG,,,,,
ODFL,,,,,
MTB,,,,,
VICI,,,,,
AMP,,,,,
CEG,,,,,
ON,,,,,
CSGP,,,,,
BAX,,,,,
NDAQ,,,,,
IDXX,,,,,
OTIS,,,,,
Date,Open,High,Low,Close,Volume
3/8/2022 16:00:00,10.57,10.93,10.36,10.84,32713113
3/9/2022 16:00:00,11.04,11.24,10.98,11.01,16499887
3/10/2022 16:00:00,10.92,10.93,10.65,10.88,13219635
3/11/2022 16:00:00,10.92,10.96,10.75,10.78,11319025
3/14/2022 16:00:00,10.79,11.21,10.74,11.19,32667396
3/15/2022 16:00:00,11.25,11.54,11.01,11.5,28372809
3/16/2022 16:00:00,11.61,12.02,11.54,12,32466114
3/17/2022 16:00:00,11.86,12.03,11.7,11.76,27404743
3/18/2022 16:00:00,11.74,11.87,11.49,11.58,58999758
3/21/2022 16:00:00,11.51,11.72,11.29,11.3,18197725
3/22/2022 16:00:00,11.38,11.69,11.3,11.62,21059752
3/23/2022 16:00:00,11.62,11.73,11.53,11.58,8611866
3/24/2022 16:00:00,11.6,11.85,11.54,11.82,15196631
3/25/2022 16:00:00,11.85,11.98,11.79,11.98,7901902
3/28/2022 16:00:00,11.95,12.1,11.95,12.04,12098909
3/29/2022 16:00:00,12.09,12.45,11.9,12.01,38205025
3/30/2022 16:00:00,12,12.22,11.97,12.09,9710347
3/31/2022 16:00:00,12.07,12.18,11.93,11.94,8647086
4/1/2022 16:00:00,11.97,12.29,11.84,12.27,12890065
4/4/2022 16:00:00,12.2,12.27,11.9,12.07,15443775
4/5/2022 16:00:00,12.11,12.27,12.04,12.05,16433574
